2023-12-05 19:56:41.081 DEBUG:   (start of logging session)
2023-12-05 21:03:45.585 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:04:20.884 INFO:    Not aliquoting from source well A5 to well A5 on plate 'stock_plate'.
2023-12-05 21:04:20.892 INFO:    Not aliquoting from source well B5 to well B5 on plate 'stock_plate'.
2023-12-05 21:04:20.902 INFO:    Not aliquoting from source well C5 to well C5 on plate 'stock_plate'.
2023-12-05 21:04:20.911 INFO:    Not aliquoting from source well D5 to well D5 on plate 'stock_plate'.
2023-12-05 21:04:20.921 INFO:    Not aliquoting from source well E5 to well E5 on plate 'stock_plate'.
2023-12-05 21:04:20.935 INFO:    Not aliquoting from source well F5 to well F5 on plate 'stock_plate'.
2023-12-05 21:04:20.946 INFO:    Not aliquoting from source well G5 to well G5 on plate 'stock_plate'.
2023-12-05 21:04:20.957 INFO:    Not aliquoting from source well H5 to well H5 on plate 'stock_plate'.
2023-12-05 21:04:26.985 INFO:    Mixing at source plate location 'A6', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:04:28.365 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:04:52.739 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:04:53.565 INFO:    Loading CCI from source column 6.
2023-12-05 21:06:01.551 INFO:    Running CCI counting scan for source plate column 6...
2023-12-05 21:07:23.904 INFO:    CCI counting scan complete.
2023-12-05 21:07:23.909 INFO:    Well A6: density = 287.6 cells/μL, valid_area = 95%
2023-12-05 21:07:23.913 INFO:    Well B6: density = 363.6 cells/μL, valid_area = 97%
2023-12-05 21:07:23.917 INFO:    Well C6: density = 128.7 cells/μL, valid_area = 97%
2023-12-05 21:07:23.920 INFO:    Well D6: density = 170.6 cells/μL, valid_area = 98%
2023-12-05 21:07:23.924 INFO:    Well E6: density = 327.2 cells/μL, valid_area = 97%
2023-12-05 21:07:23.927 INFO:    Well F6: density = 350.1 cells/μL, valid_area = 98%
2023-12-05 21:07:23.930 INFO:    Well G6: density = 287.5 cells/μL, valid_area = 98%
2023-12-05 21:07:23.934 INFO:    Well H6: density = 411.1 cells/μL, valid_area = 98%
2023-12-05 21:07:23.985 INFO:    Plate 'stock_plate' well A6: target = 12.5k cells, aliquot = 43.5 μL
2023-12-05 21:07:23.989 INFO:    Plate 'stock_plate' well B6: target = 12.5k cells, aliquot = 34.4 μL
2023-12-05 21:07:23.995 INFO:    Plate 'stock_plate' well C6: target = 12.5k cells, aliquot = 97.1 μL
2023-12-05 21:07:23.999 INFO:    Plate 'stock_plate' well D6: target = 12.5k cells, aliquot = 73.3 μL
2023-12-05 21:07:24.003 INFO:    Plate 'stock_plate' well E6: target = 12.5k cells, aliquot = 38.2 μL
2023-12-05 21:07:24.011 INFO:    Plate 'stock_plate' well F6: target = 12.5k cells, aliquot = 35.7 μL
2023-12-05 21:07:24.016 INFO:    Plate 'stock_plate' well G6: target = 12.5k cells, aliquot = 43.5 μL
2023-12-05 21:07:24.021 INFO:    Plate 'stock_plate' well H6: target = 12.5k cells, aliquot = 30.4 μL
2023-12-05 21:07:38.215 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:08:13.483 INFO:    Aliquoting 156.5 μL of 'media' and 43.5 μL from source well A6 to well A6 on plate 'stock_plate'.
2023-12-05 21:08:30.044 INFO:    Mixing at source plate location 'A6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:09:01.928 INFO:    Aliquoting 165.6 μL of 'media' and 34.4 μL from source well B6 to well B6 on plate 'stock_plate'.
2023-12-05 21:09:16.270 INFO:    Mixing at source plate location 'B6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:09:47.930 INFO:    Aliquoting 102.9 μL of 'media' and 97.1 μL from source well C6 to well C6 on plate 'stock_plate'.
2023-12-05 21:10:00.871 INFO:    Mixing at source plate location 'C6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:10:33.905 INFO:    Aliquoting 126.7 μL of 'media' and 73.3 μL from source well D6 to well D6 on plate 'stock_plate'.
2023-12-05 21:10:47.471 INFO:    Mixing at source plate location 'D6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:11:20.036 INFO:    Aliquoting 161.8 μL of 'media' and 38.2 μL from source well E6 to well E6 on plate 'stock_plate'.
2023-12-05 21:11:34.326 INFO:    Mixing at source plate location 'E6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:12:06.175 INFO:    Aliquoting 164.3 μL of 'media' and 35.7 μL from source well F6 to well F6 on plate 'stock_plate'.
2023-12-05 21:12:20.588 INFO:    Mixing at source plate location 'F6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:12:52.422 INFO:    Aliquoting 156.5 μL of 'media' and 43.5 μL from source well G6 to well G6 on plate 'stock_plate'.
2023-12-05 21:13:06.700 INFO:    Mixing at source plate location 'G6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:13:38.754 INFO:    Aliquoting 169.6 μL of 'media' and 30.4 μL from source well H6 to well H6 on plate 'stock_plate'.
2023-12-05 21:13:53.260 INFO:    Mixing at source plate location 'H6', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:14:33.359 INFO:    Mixing at source plate location 'A7', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:14:34.722 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:14:58.955 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:14:59.784 INFO:    Loading CCI from source column 7.
2023-12-05 21:16:07.773 INFO:    Running CCI counting scan for source plate column 7...
2023-12-05 21:17:28.334 INFO:    CCI counting scan complete.
2023-12-05 21:17:28.342 INFO:    Well A7: density = 272.9 cells/μL, valid_area = 95%
2023-12-05 21:17:28.346 INFO:    Well B7: density = 220.0 cells/μL, valid_area = 97%
2023-12-05 21:17:28.352 INFO:    Well C7: density = 321.7 cells/μL, valid_area = 97%
2023-12-05 21:17:28.356 INFO:    Well D7: density = 358.2 cells/μL, valid_area = 98%
2023-12-05 21:17:28.359 INFO:    Well E7: density = 265.7 cells/μL, valid_area = 97%
2023-12-05 21:17:28.362 INFO:    Well F7: density = 285.0 cells/μL, valid_area = 98%
2023-12-05 21:17:28.366 INFO:    Well G7: density = 326.5 cells/μL, valid_area = 98%
2023-12-05 21:17:28.369 INFO:    Well H7: density = 216.7 cells/μL, valid_area = 98%
2023-12-05 21:17:28.420 INFO:    Plate 'stock_plate' well A7: target = 12.5k cells, aliquot = 45.8 μL
2023-12-05 21:17:28.424 INFO:    Plate 'stock_plate' well B7: target = 12.5k cells, aliquot = 56.8 μL
2023-12-05 21:17:28.427 INFO:    Plate 'stock_plate' well C7: target is zero, will skip transfer
2023-12-05 21:17:28.431 INFO:    Plate 'stock_plate' well D7: target = 12.5k cells, aliquot = 34.9 μL
2023-12-05 21:17:28.435 INFO:    Plate 'stock_plate' well E7: target = 12.5k cells, aliquot = 47.0 μL
2023-12-05 21:17:28.439 INFO:    Plate 'stock_plate' well F7: target = 12.5k cells, aliquot = 43.9 μL
2023-12-05 21:17:28.443 INFO:    Plate 'stock_plate' well G7: target = 12.5k cells, aliquot = 38.3 μL
2023-12-05 21:17:28.447 INFO:    Plate 'stock_plate' well H7: target = 12.5k cells, aliquot = 57.7 μL
2023-12-05 21:17:42.701 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:18:17.854 INFO:    Aliquoting 154.2 μL of 'media' and 45.8 μL from source well A7 to well A7 on plate 'stock_plate'.
2023-12-05 21:18:34.379 INFO:    Mixing at source plate location 'A7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:19:06.314 INFO:    Aliquoting 143.2 μL of 'media' and 56.8 μL from source well B7 to well B7 on plate 'stock_plate'.
2023-12-05 21:19:20.221 INFO:    Mixing at source plate location 'B7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:19:52.319 INFO:    Not aliquoting from source well C7 to well C7 on plate 'stock_plate'.
2023-12-05 21:19:52.329 INFO:    Aliquoting 165.1 μL of 'media' and 34.9 μL from source well D7 to well D7 on plate 'stock_plate'.
2023-12-05 21:20:06.770 INFO:    Mixing at source plate location 'D7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:20:38.646 INFO:    Aliquoting 153.0 μL of 'media' and 47.0 μL from source well E7 to well E7 on plate 'stock_plate'.
2023-12-05 21:20:52.755 INFO:    Mixing at source plate location 'E7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:21:24.773 INFO:    Aliquoting 156.1 μL of 'media' and 43.9 μL from source well F7 to well F7 on plate 'stock_plate'.
2023-12-05 21:21:38.996 INFO:    Mixing at source plate location 'F7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:22:10.966 INFO:    Aliquoting 161.7 μL of 'media' and 38.3 μL from source well G7 to well G7 on plate 'stock_plate'.
2023-12-05 21:22:25.364 INFO:    Mixing at source plate location 'G7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:22:57.209 INFO:    Aliquoting 142.3 μL of 'media' and 57.7 μL from source well H7 to well H7 on plate 'stock_plate'.
2023-12-05 21:23:11.436 INFO:    Mixing at source plate location 'H7', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:23:51.882 INFO:    Mixing at source plate location 'A8', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:23:53.207 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:24:17.551 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:24:18.396 INFO:    Loading CCI from source column 8.
2023-12-05 21:25:26.352 INFO:    Running CCI counting scan for source plate column 8...
2023-12-05 21:26:49.231 INFO:    CCI counting scan complete.
2023-12-05 21:26:49.239 INFO:    Well A8: density = 408.1 cells/μL, valid_area = 95%
2023-12-05 21:26:49.243 INFO:    Well B8: density = 390.0 cells/μL, valid_area = 97%
2023-12-05 21:26:49.248 INFO:    Well C8: density = 261.3 cells/μL, valid_area = 97%
2023-12-05 21:26:49.252 INFO:    Well D8: density = 243.6 cells/μL, valid_area = 98%
2023-12-05 21:26:49.256 INFO:    Well E8: density = 386.1 cells/μL, valid_area = 97%
2023-12-05 21:26:49.266 INFO:    Well F8: density = 389.1 cells/μL, valid_area = 98%
2023-12-05 21:26:49.270 INFO:    Well G8: density = 265.3 cells/μL, valid_area = 98%
2023-12-05 21:26:49.274 INFO:    Well H8: density = 358.9 cells/μL, valid_area = 98%
2023-12-05 21:26:49.327 INFO:    Plate 'stock_plate' well A8: target = 12.5k cells, aliquot = 30.6 μL
2023-12-05 21:26:49.332 INFO:    Plate 'stock_plate' well B8: target = 12.5k cells, aliquot = 32.1 μL
2023-12-05 21:26:49.337 INFO:    Plate 'stock_plate' well C8: target = 12.5k cells, aliquot = 47.8 μL
2023-12-05 21:26:49.341 INFO:    Plate 'stock_plate' well D8: target = 12.5k cells, aliquot = 51.3 μL
2023-12-05 21:26:49.349 INFO:    Plate 'stock_plate' well E8: target = 12.5k cells, aliquot = 32.4 μL
2023-12-05 21:26:49.353 INFO:    Plate 'stock_plate' well F8: target = 12.5k cells, aliquot = 32.1 μL
2023-12-05 21:26:49.359 INFO:    Plate 'stock_plate' well G8: target = 12.5k cells, aliquot = 47.1 μL
2023-12-05 21:26:49.364 INFO:    Plate 'stock_plate' well H8: target = 12.5k cells, aliquot = 34.8 μL
2023-12-05 21:27:03.632 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:27:38.695 INFO:    Aliquoting 169.4 μL of 'media' and 30.6 μL from source well A8 to well A8 on plate 'stock_plate'.
2023-12-05 21:27:55.497 INFO:    Mixing at source plate location 'A8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:28:27.038 INFO:    Aliquoting 167.9 μL of 'media' and 32.1 μL from source well B8 to well B8 on plate 'stock_plate'.
2023-12-05 21:28:41.341 INFO:    Mixing at source plate location 'B8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:29:13.065 INFO:    Aliquoting 152.2 μL of 'media' and 47.8 μL from source well C8 to well C8 on plate 'stock_plate'.
2023-12-05 21:29:27.029 INFO:    Mixing at source plate location 'C8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:29:58.948 INFO:    Aliquoting 148.7 μL of 'media' and 51.3 μL from source well D8 to well D8 on plate 'stock_plate'.
2023-12-05 21:30:12.826 INFO:    Mixing at source plate location 'D8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:30:44.865 INFO:    Aliquoting 167.6 μL of 'media' and 32.4 μL from source well E8 to well E8 on plate 'stock_plate'.
2023-12-05 21:30:59.212 INFO:    Mixing at source plate location 'E8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:31:30.857 INFO:    Aliquoting 167.9 μL of 'media' and 32.1 μL from source well F8 to well F8 on plate 'stock_plate'.
2023-12-05 21:31:45.260 INFO:    Mixing at source plate location 'F8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:32:16.965 INFO:    Aliquoting 152.9 μL of 'media' and 47.1 μL from source well G8 to well G8 on plate 'stock_plate'.
2023-12-05 21:32:31.002 INFO:    Mixing at source plate location 'G8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:33:03.077 INFO:    Aliquoting 165.2 μL of 'media' and 34.8 μL from source well H8 to well H8 on plate 'stock_plate'.
2023-12-05 21:33:17.477 INFO:    Mixing at source plate location 'H8', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:33:57.781 INFO:    Mixing at source plate location 'A9', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:33:59.427 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:34:23.639 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:34:24.520 INFO:    Loading CCI from source column 9.
2023-12-05 21:35:32.497 INFO:    Running CCI counting scan for source plate column 9...
2023-12-05 21:36:52.543 INFO:    CCI counting scan complete.
2023-12-05 21:36:52.551 INFO:    Well A9: density = 176.6 cells/μL, valid_area = 95%
2023-12-05 21:36:52.558 INFO:    Well B9: density = 445.3 cells/μL, valid_area = 97%
2023-12-05 21:36:52.567 INFO:    Well C9: density = 244.2 cells/μL, valid_area = 97%
2023-12-05 21:36:52.574 INFO:    Well D9: density = 131.6 cells/μL, valid_area = 98%
2023-12-05 21:36:52.593 INFO:    Well E9: density = 380.9 cells/μL, valid_area = 97%
2023-12-05 21:36:52.598 INFO:    Well F9: density = 141.9 cells/μL, valid_area = 98%
2023-12-05 21:36:52.602 INFO:    Well G9: density = 382.4 cells/μL, valid_area = 98%
2023-12-05 21:36:52.607 INFO:    Well H9: density = 116.2 cells/μL, valid_area = 98%
2023-12-05 21:36:52.679 INFO:    Plate 'stock_plate' well A9: target = 12.5k cells, aliquot = 70.8 μL
2023-12-05 21:36:52.686 INFO:    Plate 'stock_plate' well B9: target = 12.5k cells, aliquot = 28.1 μL
2023-12-05 21:36:52.690 INFO:    Plate 'stock_plate' well C9: target = 12.5k cells, aliquot = 51.2 μL
2023-12-05 21:36:52.694 INFO:    Plate 'stock_plate' well D9: target = 12.5k cells, aliquot = 95.0 μL
2023-12-05 21:36:52.697 INFO:    Plate 'stock_plate' well E9: target = 12.5k cells, aliquot = 32.8 μL
2023-12-05 21:36:52.701 INFO:    Plate 'stock_plate' well F9: target = 12.5k cells, aliquot = 88.1 μL
2023-12-05 21:36:52.705 INFO:    Plate 'stock_plate' well G9: target = 12.5k cells, aliquot = 32.7 μL
2023-12-05 21:36:52.709 INFO:    Plate 'stock_plate' well H9: target = 12.5k cells, aliquot = 107.6 μL
2023-12-05 21:37:06.909 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:37:42.125 INFO:    Aliquoting 129.2 μL of 'media' and 70.8 μL from source well A9 to well A9 on plate 'stock_plate'.
2023-12-05 21:37:57.742 INFO:    Mixing at source plate location 'A9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:38:30.167 INFO:    Aliquoting 171.9 μL of 'media' and 28.1 μL from source well B9 to well B9 on plate 'stock_plate'.
2023-12-05 21:38:44.539 INFO:    Mixing at source plate location 'B9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:39:16.065 INFO:    Aliquoting 148.8 μL of 'media' and 51.2 μL from source well C9 to well C9 on plate 'stock_plate'.
2023-12-05 21:39:30.020 INFO:    Mixing at source plate location 'C9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:40:02.044 INFO:    Aliquoting 105.0 μL of 'media' and 95.0 μL from source well D9 to well D9 on plate 'stock_plate'.
2023-12-05 21:40:15.128 INFO:    Mixing at source plate location 'D9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:40:48.196 INFO:    Aliquoting 167.2 μL of 'media' and 32.8 μL from source well E9 to well E9 on plate 'stock_plate'.
2023-12-05 21:41:02.565 INFO:    Mixing at source plate location 'E9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:41:34.226 INFO:    Aliquoting 111.9 μL of 'media' and 88.1 μL from source well F9 to well F9 on plate 'stock_plate'.
2023-12-05 21:41:47.456 INFO:    Mixing at source plate location 'F9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:42:20.365 INFO:    Aliquoting 167.3 μL of 'media' and 32.7 μL from source well G9 to well G9 on plate 'stock_plate'.
2023-12-05 21:42:34.797 INFO:    Mixing at source plate location 'G9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:43:06.458 INFO:    Aliquoting 92.4 μL of 'media' and 107.6 μL from source well H9 to well H9 on plate 'stock_plate'.
2023-12-05 21:43:19.144 INFO:    Mixing at source plate location 'H9', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:44:00.855 INFO:    Mixing at source plate location 'A10', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:44:02.483 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:44:26.959 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:44:27.796 INFO:    Loading CCI from source column 10.
2023-12-05 21:45:35.748 INFO:    Running CCI counting scan for source plate column 10...
2023-12-05 21:46:56.434 INFO:    CCI counting scan complete.
2023-12-05 21:46:56.443 INFO:    Well A10: density = 446.9 cells/μL, valid_area = 95%
2023-12-05 21:46:56.448 INFO:    Well B10: density = 206.9 cells/μL, valid_area = 97%
2023-12-05 21:46:56.451 INFO:    Well C10: density = 228.5 cells/μL, valid_area = 97%
2023-12-05 21:46:56.455 INFO:    Well D10: density = 155.0 cells/μL, valid_area = 98%
2023-12-05 21:46:56.458 INFO:    Well E10: density = 328.5 cells/μL, valid_area = 97%
2023-12-05 21:46:56.461 INFO:    Well F10: density = 322.8 cells/μL, valid_area = 98%
2023-12-05 21:46:56.465 INFO:    Well G10: density = 382.4 cells/μL, valid_area = 98%
2023-12-05 21:46:56.468 INFO:    Well H10: density = 257.1 cells/μL, valid_area = 98%
2023-12-05 21:46:56.519 INFO:    Plate 'stock_plate' well A10: target is zero, will skip transfer
2023-12-05 21:46:56.522 INFO:    Plate 'stock_plate' well B10: target is zero, will skip transfer
2023-12-05 21:46:56.525 INFO:    Plate 'stock_plate' well C10: target is zero, will skip transfer
2023-12-05 21:46:56.529 INFO:    Plate 'stock_plate' well D10: target is zero, will skip transfer
2023-12-05 21:46:56.532 INFO:    Plate 'stock_plate' well E10: target is zero, will skip transfer
2023-12-05 21:46:56.535 INFO:    Plate 'stock_plate' well F10: target is zero, will skip transfer
2023-12-05 21:46:56.539 INFO:    Plate 'stock_plate' well G10: target is zero, will skip transfer
2023-12-05 21:46:56.543 INFO:    Plate 'stock_plate' well H10: target is zero, will skip transfer
2023-12-05 21:47:10.750 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:47:45.910 INFO:    Not aliquoting from source well A10 to well A10 on plate 'stock_plate'.
2023-12-05 21:47:45.920 INFO:    Not aliquoting from source well B10 to well B10 on plate 'stock_plate'.
2023-12-05 21:47:45.932 INFO:    Not aliquoting from source well C10 to well C10 on plate 'stock_plate'.
2023-12-05 21:47:45.941 INFO:    Not aliquoting from source well D10 to well D10 on plate 'stock_plate'.
2023-12-05 21:47:45.950 INFO:    Not aliquoting from source well E10 to well E10 on plate 'stock_plate'.
2023-12-05 21:47:45.960 INFO:    Not aliquoting from source well F10 to well F10 on plate 'stock_plate'.
2023-12-05 21:47:45.969 INFO:    Not aliquoting from source well G10 to well G10 on plate 'stock_plate'.
2023-12-05 21:47:45.978 INFO:    Not aliquoting from source well H10 to well H10 on plate 'stock_plate'.
2023-12-05 21:47:51.835 INFO:    Mixing at source plate location 'A11', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:47:53.447 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:48:17.764 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:48:18.591 INFO:    Loading CCI from source column 11.
2023-12-05 21:49:26.561 INFO:    Running CCI counting scan for source plate column 11...
2023-12-05 21:50:47.827 INFO:    CCI counting scan complete.
2023-12-05 21:50:47.833 INFO:    Well A11: density = 517.8 cells/μL, valid_area = 95%
2023-12-05 21:50:47.837 INFO:    Well B11: density = 204.2 cells/μL, valid_area = 97%
2023-12-05 21:50:47.840 INFO:    Well C11: density = 313.8 cells/μL, valid_area = 97%
2023-12-05 21:50:47.845 INFO:    Well D11: density = 332.2 cells/μL, valid_area = 98%
2023-12-05 21:50:47.849 INFO:    Well E11: density = 170.1 cells/μL, valid_area = 97%
2023-12-05 21:50:47.852 INFO:    Well F11: density = 256.4 cells/μL, valid_area = 98%
2023-12-05 21:50:47.855 INFO:    Well G11: density = 197.7 cells/μL, valid_area = 98%
2023-12-05 21:50:47.859 INFO:    Well H11: density = 271.5 cells/μL, valid_area = 98%
2023-12-05 21:50:47.917 INFO:    Plate 'stock_plate' well A11: target = 12.5k cells, aliquot = 24.1 μL
2023-12-05 21:50:47.921 INFO:    Plate 'stock_plate' well B11: target = 12.5k cells, aliquot = 61.2 μL
2023-12-05 21:50:47.924 INFO:    Plate 'stock_plate' well C11: target = 12.5k cells, aliquot = 39.8 μL
2023-12-05 21:50:47.928 INFO:    Plate 'stock_plate' well D11: target = 12.5k cells, aliquot = 37.6 μL
2023-12-05 21:50:47.932 INFO:    Plate 'stock_plate' well E11: target = 12.5k cells, aliquot = 73.5 μL
2023-12-05 21:50:47.936 INFO:    Plate 'stock_plate' well F11: target = 12.5k cells, aliquot = 48.8 μL
2023-12-05 21:50:47.942 INFO:    Plate 'stock_plate' well G11: target = 12.5k cells, aliquot = 63.2 μL
2023-12-05 21:50:47.945 INFO:    Plate 'stock_plate' well H11: target = 12.5k cells, aliquot = 46.0 μL
2023-12-05 21:51:02.174 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 21:51:37.223 INFO:    Aliquoting 175.9 μL of 'media' and 24.1 μL from source well A11 to well A11 on plate 'stock_plate'.
2023-12-05 21:51:53.849 INFO:    Mixing at source plate location 'A11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:52:25.109 INFO:    Aliquoting 138.8 μL of 'media' and 61.2 μL from source well B11 to well B11 on plate 'stock_plate'.
2023-12-05 21:52:38.648 INFO:    Mixing at source plate location 'B11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:53:10.785 INFO:    Aliquoting 160.2 μL of 'media' and 39.8 μL from source well C11 to well C11 on plate 'stock_plate'.
2023-12-05 21:53:24.840 INFO:    Mixing at source plate location 'C11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:53:56.475 INFO:    Aliquoting 162.4 μL of 'media' and 37.6 μL from source well D11 to well D11 on plate 'stock_plate'.
2023-12-05 21:54:10.605 INFO:    Mixing at source plate location 'D11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:54:42.216 INFO:    Aliquoting 126.5 μL of 'media' and 73.5 μL from source well E11 to well E11 on plate 'stock_plate'.
2023-12-05 21:54:55.600 INFO:    Mixing at source plate location 'E11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:55:28.059 INFO:    Aliquoting 151.2 μL of 'media' and 48.8 μL from source well F11 to well F11 on plate 'stock_plate'.
2023-12-05 21:55:42.012 INFO:    Mixing at source plate location 'F11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:56:13.885 INFO:    Aliquoting 136.8 μL of 'media' and 63.2 μL from source well G11 to well G11 on plate 'stock_plate'.
2023-12-05 21:56:27.528 INFO:    Mixing at source plate location 'G11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:56:59.756 INFO:    Aliquoting 154.0 μL of 'media' and 46.0 μL from source well H11 to well H11 on plate 'stock_plate'.
2023-12-05 21:57:13.729 INFO:    Mixing at source plate location 'H11', 4 cycles for stage 'pretransfer', well vol 230.0 μL
2023-12-05 21:57:54.094 INFO:    Mixing at source plate location 'A12', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 21:57:55.674 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 21:58:19.996 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 21:58:20.826 INFO:    Loading CCI from source column 12.
2023-12-05 21:59:28.765 INFO:    Running CCI counting scan for source plate column 12...
2023-12-05 22:00:51.528 INFO:    CCI counting scan complete.
2023-12-05 22:00:51.532 INFO:    Well A12: density = 394.7 cells/μL, valid_area = 95%
2023-12-05 22:00:51.535 INFO:    Well B12: density = 143.6 cells/μL, valid_area = 97%
2023-12-05 22:00:51.538 INFO:    Well C12: density = 358.5 cells/μL, valid_area = 97%
2023-12-05 22:00:51.547 INFO:    Well D12: density = 372.6 cells/μL, valid_area = 98%
2023-12-05 22:00:51.551 INFO:    Well E12: density = 281.4 cells/μL, valid_area = 97%
2023-12-05 22:00:51.554 INFO:    Well F12: density = 360.5 cells/μL, valid_area = 98%
2023-12-05 22:00:51.557 INFO:    Well G12: density = 374.6 cells/μL, valid_area = 98%
2023-12-05 22:00:51.561 INFO:    Well H12: density = 462.0 cells/μL, valid_area = 98%
2023-12-05 22:00:51.616 INFO:    Plate 'stock_plate' well A12: target = 12.5k cells, aliquot = 31.7 μL
2023-12-05 22:00:51.623 INFO:    Plate 'stock_plate' well B12: target = 12.5k cells, aliquot = 87.0 μL
2023-12-05 22:00:51.627 INFO:    Plate 'stock_plate' well C12: target = 12.5k cells, aliquot = 34.9 μL
2023-12-05 22:00:51.631 INFO:    Plate 'stock_plate' well D12: target = 12.5k cells, aliquot = 33.6 μL
2023-12-05 22:00:51.634 INFO:    Plate 'stock_plate' well E12: target = 12.5k cells, aliquot = 44.4 μL
2023-12-05 22:00:51.638 INFO:    Plate 'stock_plate' well F12: target = 12.5k cells, aliquot = 34.7 μL
2023-12-05 22:00:51.642 INFO:    Plate 'stock_plate' well G12: target = 12.5k cells, aliquot = 33.4 μL
